old_species,old_description,new_species,new_description,reclass_rational
eastern chipmunk,1db1c6e2-2ea9-45a6-ab69-a730133298eb;mammalia;rodentia;sciuridae;tamias;striatus;eastern chipmunk,Chipmunk,Small with stripes on back,
eastern gray squirrel,86f5b978-4f30-40cc-bd08-be9e3fba27a0;mammalia;rodentia;sciuridae;sciurus;carolinensis;eastern gray squirrel,Gray Squirrel,Bushy tail with white hair,
mammal,f2d233e3-80e3-433d-9687-e29ecc7a467a;mammalia;;;;;mammal,Mammal,,
sciuridae family,e4d1e892-0e4b-475a-a8ac-b5c3502e0d55;mammalia;rodentia;sciuridae;;;sciuridae family,Squirrel (General),,
woodchuck,b9a7f328-3bb9-4326-9665-cc8ab5d870e1;mammalia;rodentia;sciuridae;marmota;monax;woodchuck,Woodchuck,"Short legs, beaver-ish build",
marmota species,c9f7a600-58ec-40f7-ac9e-b777c07783f7;mammalia;rodentia;sciuridae;marmota;;marmota species,Woodchuck,"Short legs, beaver-ish build",Woodchuck is only marmot in east U.S.
wild turkey,94d8284e-6193-43b5-b80c-9029cf951675;aves;galliformes;phasianidae;meleagris;gallopavo;wild turkey,Turkey,,
bird,b1352069-a39c-4a84-a949-60044271c0c1;aves;;;;;bird,Bird,,
white-tailed deer,5c7ce479-8a45-40b3-ae21-7c97dfae22f5;mammalia;artiodactyla;cervidae;odocoileus;virginianus;white-tailed deer,Deer,,
virginia opossum,87be3a5c-e60a-4e7e-88c7-21544914d067;mammalia;didelphimorphia;didelphidae;didelphis;virginiana;virginia opossum,Opossum,"Hairless tail, white head with grey body",
vehicle,e2895ed5-780b-48f6-8a11-9e27cb594511;;;;;;vehicle,Vehicle,,
striped skunk,9282b7e4-f3b0-4ef3-9741-cae7f7bd346a;mammalia;carnivora;mephitidae;mephitis;mephitis;striped skunk,Skunk,Black fur with white stripes,
mephitis species,9cdb7b1d-47cc-46e9-88ea-f49c8f3f23c2;mammalia;carnivora;mephitidae;mephitis;;mephitis species,Skunk,Black fur with white stripes,
red fox,ac0e8ba7-7261-4d17-8645-11ed3d02165a;mammalia;carnivora;canidae;vulpes;vulpes;red fox,Red Fox,Orange fur with black tail and lower limbs,
no cv result,f2efdae9-efb8-48fb-8a91-eccf79ab4ffb;no cv result;no cv result;no cv result;no cv result;no cv result;no cv result,No Result,,
northern raccoon,b57debc1-dff2-48d3-a400-f2b5021e71b0;mammalia;carnivora;procyonidae;procyon;lotor;northern raccoon,Raccoon,"Classic ""mask"" on face, tail with rings",
eastern fox squirrel,e07c537d-08b8-4c31-9768-51e4adf5a5ab;mammalia;rodentia;sciuridae;sciurus;niger;eastern fox squirrel,Fox Squirrel,"Red-ish fur, bushy tail with rusty color, gloves like a red fox",
grey fox,ffe603fc-4920-4302-96d0-65f708bd5b2d;mammalia;carnivora;canidae;urocyon;cinereoargenteus;grey fox,Grey Fox,"Similar to coyote body frame but stockier, black stripe on tail, large ears",
canine family,3184697f-51ad-4608-9a28-9edb5500159c;mammalia;carnivora;canidae;;;canine family,Canine,,
sciurus species,88a54afe-71de-4833-b420-86630f9dfd86;mammalia;rodentia;sciuridae;sciurus;;sciurus species,Squirrel (General),,
domestic horse,5109acb4-e503-4147-a175-a3c6aa71f1e3;mammalia;perissodactyla;equidae;equus;caballus;domestic horse,Horse,,
domestic dog,3d80f1d6-b1df-4966-9ff4-94053c7a902a;mammalia;carnivora;canidae;canis;familiaris;domestic dog,Dog,,
canis species,d3d5325f-b055-4925-b875-5cd28af54215;mammalia;carnivora;canidae;canis;;canis species,Canine,,Possibly things other than coyotes
carnivorous mammal,eeeb5d26-2a47-4d01-a3de-10b33ec0aee4;mammalia;carnivora;;;;carnivorous mammal,Mammal,,
animal,1f689929-883d-4dae-958c-3d57ab5b6c16;;;;;;animal,Animal,,
gallus species,e94dc728-b517-4cb5-8b73-e4ae6128434c;aves;galliformes;phasianidae;gallus;;gallus species,Bird,,
red junglefowl,89851bea-765b-431a-bb03-6f821931ebdc;aves;galliformes;phasianidae;gallus;gallus;red junglefowl,Bird,,
domestic chicken,cae9534f-f302-4229-9e11-b91138333d92;aves;galliformes;phasianidae;gallus;gallus domesticus;domestic chicken,Bird,,
phasianidae family,4eae4c62-e867-465a-a1f3-536791efa6c4;aves;galliformes;phasianidae;;;phasianidae family,Turkey,,Probably similar enough that these are all turkeys
domestic cat,9212982e-8a58-4775-a6ac-e9a43110d8f5;mammalia;carnivora;felidae;felis;catus;domestic cat,House Cat,"Very small compared to bobcats, no ear tufts, longer tail",
cat family,df8514b0-10a5-411f-8ed6-0f415e8153a3;mammalia;carnivora;felidae;;;cat family,Cat,,
coyote,aaf3b049-36e6-46dd-9a07-8a580e9618b7;mammalia;carnivora;canidae;canis;latrans;coyote,Coyote,,
eastern cottontail,667a4650-a141-4c4e-844e-58cdeaeb4ae1;mammalia;lagomorpha;leporidae;sylvilagus;floridanus;eastern cottontail,Rabbit,,
bobcat,ba76d46e-25de-45e2-90a8-bd279b650f7c;mammalia;carnivora;felidae;lynx;rufus;bobcat,Bobcat,"Striped/spotted fur, black ear tufts, short tail, long legs esp. in snowy areas",
lynx species,a21c3699-864e-432c-a2e1-cbb016d81158;mammalia;carnivora;felidae;lynx;;lynx species,Bobcat,"Striped/spotted fur, black ear tufts, short tail, long legs esp. in snowy areas",
american crow,87fdd451-ca1e-47b1-af43-aa4517cd13bf;aves;passeriformes;corvidae;corvus;brachyrhynchos;american crow,Bird,,
corvus species,e237b8d3-997f-4f3b-8736-8c3958f8182c;aves;passeriformes;corvidae;corvus;;corvus species,Bird,,
sylvilagus species,cacc63d7-b949-4731-abce-a403ba76ee34;mammalia;lagomorpha;leporidae;sylvilagus;;sylvilagus species,Rabbit,"Large ears, ""cotton"" tail",
american black bear,436ddfdd-bc43-44c3-a25d-34671d3430a0;mammalia;carnivora;ursidae;ursus;americanus;american black bear,Bear,,
